loss,kl,elbo,alpha
1896.2043,2.9689586,1896.2043,0.0
1629.4417,6.812592,1629.4419,4.2860969729440126e-05
3075.8684,14.058402,3075.8696,8.572193945888025e-05
2113.0137,23.254227,2113.0166,0.00012858290918832038
2791.87,28.837204,2791.875,0.0001714438789177605
1709.5742,42.36708,1709.5833,0.00021430484864720062
2355.71,57.06511,2355.7246,0.00025716581837664077
1592.3418,80.0181,1592.3658,0.0003000267881060809
1894.3594,125.06512,1894.4022,0.000342887757835521
2006.3218,148.67352,2006.3792,0.0003857487275649612
2447.4436,169.8469,2447.5164,0.00042860969729440124
2266.5068,209.8088,2266.6057,0.0004714706670238414
1658.3615,251.7589,1658.491,0.0005143316367532815
1316.3402,312.7196,1316.5144,0.0005571926064827217
1404.4893,313.68884,1404.6775,0.0006000535762121618
1867.4458,350.37115,1867.671,0.0006429145459416019
1016.56024,389.9592,1016.82764,0.000685775515671042
1286.5244,443.3581,1286.8474,0.0007286364854004821
1460.9619,413.26608,1461.2808,0.0007714974551299224
1610.3667,432.56082,1610.719,0.0008143584248593624
1957.7732,399.20825,1958.1154,0.0008572193945888025
2098.9204,446.9907,2099.3228,0.0009000803643182427
902.93884,381.01276,903.2981,0.0009429413340476828
1709.8687,435.54413,1710.298,0.0009858023037771228
2133.1792,410.4148,2133.6013,0.001028663273506563
857.86145,499.73737,858.3969,0.001071524243236003
2081.2039,373.19208,2081.6196,0.0011143852129654433
1724.2314,399.52594,1724.6938,0.0011572461826948835
1505.1272,351.3888,1505.549,0.0012001071524243236
1615.5991,266.12207,1615.9299,0.0012429681221537636
1884.6202,259.32578,1884.9537,0.0012858290918832038
1455.6157,341.00623,1456.0688,0.0013286900616126438
2151.7966,288.04425,2152.1917,0.001371551031342084
819.5519,260.89474,819.9209,0.0014144120010715243
1968.7919,245.24625,1969.1493,0.0014572729708009643
539.96265,206.31738,540.27216,0.0015001339405304045
1550.8081,203.89107,1551.1227,0.0015429949102598447
1772.4,168.8474,1772.6678,0.0015858558799892845
