loss,kl,elbo,alpha
6084.081,1.7615055,6084.081,0.0
4716.208,23.055267,4716.3555,0.0064
5954.242,64.76632,5954.7603,0.008
5449.37,269.1469,5449.37,0.0
5607.243,378.85916,5609.668,0.0064
5142.206,403.441,5145.4336,0.008
3883.8254,907.8653,3883.8254,0.0
6270.9526,707.47925,6275.4805,0.0064
5397.2573,777.2297,5403.475,0.008
4079.812,1510.484,4079.812,0.0
5008.38,611.08057,5012.291,0.0064
6120.691,606.6407,6125.544,0.008
4332.5054,779.3607,4332.5054,0.0
5856.554,243.64935,5858.114,0.0064
4282.4023,754.2026,4288.436,0.008
3875.252,819.1863,3875.252,0.0
4849.4326,348.44122,4851.6626,0.0064
5532.6133,427.47702,5536.033,0.008
4197.668,401.36163,4197.668,0.0
4179.403,374.1807,4181.7974,0.0064
6354.836,271.9988,6357.0117,0.008
5329.1562,216.36269,5329.1562,0.0
3209.0425,237.58612,3210.563,0.0064
6023.6714,160.804,6024.958,0.008
4124.3867,164.59987,4124.3867,0.0
5397.6187,119.388214,5398.383,0.0064
4909.363,134.08948,4910.4355,0.008
4281.2153,138.96365,4281.2153,0.0
5322.911,176.27887,5324.0396,0.0064
4551.9165,118.31958,4552.8633,0.008
5319.1885,143.66989,5319.1885,0.0
5315.669,152.21408,5316.643,0.0064
3110.1292,133.54475,3111.1975,0.008
4735.6685,143.75226,4735.6685,0.0
3656.4932,155.95045,3657.4912,0.0064
5138.868,175.55211,5140.2725,0.008
5710.2476,203.30244,5710.2476,0.0
4414.784,195.68922,4416.0366,0.0064
3583.623,173.21265,3585.0088,0.008
3517.7864,175.15927,3517.7864,0.0
5130.9326,267.34067,5132.6436,0.0064
4871.5723,234.843,4873.451,0.008
4823.9854,274.56305,4823.9854,0.0
3689.1174,205.07841,3690.43,0.0064
4831.679,263.86743,4833.79,0.008
2997.7231,259.60474,2997.7231,0.0
4737.13,267.09848,4738.8394,0.0064
4754.0054,283.5019,4756.2734,0.008
4260.7773,283.36044,4260.7773,0.0
4474.1323,322.3583,4476.1953,0.0064
3649.6719,297.2407,3652.0498,0.008
3960.0583,326.12836,3960.0583,0.0
3180.6821,287.3831,3182.5215,0.0064
5886.65,381.34634,5889.7007,0.008
3161.3628,345.01498,3161.3628,0.0
5311.3555,354.54382,5313.6245,0.0064
4323.731,367.97156,4326.675,0.008
